&File,,&File,,,,,,,,,0,,
&Save\tCTRL+S,,TODO! &Salva\tCTRL+S,,,,,,,,,0,,
&Undo\tESC,,TODO! Ann&ulla\tESC,,,,,,,,,0,,
&Initialise\tSTRG+I,,TODO! &Inizializzazione\tSTRG+I,,,,,,,,,0,,
Save &as...,,TODO! S&alva con nome...,,,,,,,,,0,,
&Open...,,TODO! A&pri...,,,,,,,,,0,,
&Exit\tAlt+F4,,TODO! &Esci\tAlt+F4,,,,,,,,,0,,
&Edit,,TODO! &Modifica,,,,,,,,,0,,
&New\tStrg+N,,TODO! &Nuovo\tStrg+N,,,,,,,,,0,,
&Delete\tShift+DEL,,TODO! &Elimina\tShift+DEL,,,,,,,,,0,,
&View,,&Visualizza,,,,,,,,,0,,
&Tooltips,,TODO! &Tooltips,,,,,,,,,0,,
&?,,&?,,,,,,,,,0,,
&About...,,&Informazioni su...,,,,,,,,,0,,
&Name:,,&Nome:,,,,,,,,,0,,
N&umber/Address:,,TODO! N&umero/Indirizzo:,,,,,,,,,0,,
&Type:,,TODO! &Tipo:,,,,,,,,,0,,
List2,,List2,,,,,,,,,0,,
Own &host name:,,TODO! Own &host name:,,,,,,,,,0,,
Setup archives...,,TODO! Setup archives...,,,,,,,,,0,,
&ISDN,,TODO! ISDN,,,,,,,,,0,,
&On/Off,,TODO! On/Off,,,,,,,,,0,,
Own call number,,TODO! Own call number,,,,,,,,,0,,
Number of B - channels,,TODO! Number of B - channels,,,,,,,,,0,,
&1 B - channel,,TODO! &1 B - channel,,,,,,,,,0,,
&2 B - channel,,TODO! &2 B - channel,,,,,,,,,0,,
Use &MSN,,TODO! Use &MSN,,,,,,,,,0,,
&Prefix:,,TODO! &Prefisso:,,,,,,,,,0,,
Minimum &length of call numbers which use prefix:,,TODO! Minimum &length of call numbers which use prefix:,,,,,,,,,0,,
TCP/IP,,TCP/IP,,,,,,,,,0,,
&On/Off,,TODO! On/Off,,,,,,,,,0,,
Expected Bitrate,,TODO! Expected Bitrate,,,,,,,,,0,,
> &8 MBit,,TODO! > &8 MBit,,,,,,,,,0,,
&4 MBit,,TODO! &4 MBit,,,,,,,,,0,,
2 &MBit,,TODO! 2 &MBit,,,,,,,,,0,,
1 MBi&t,,TODO! 1 MBi&t,,,,,,,,,0,,
&512 kBit,,TODO! &512 kBit,,,,,,,,,0,,
&256 kBit,,TODO! &256 kBit,,,,,,,,,0,,
&128 kBit,,TODO! &128 kBit,,,,,,,,,0,,
&64 kBit,,TODO! &64 kBit,,,,,,,,,0,,
Automatic exit of applications,,TODO! Automatic exit of applications,,,,,,,,,0,,
&Exit after (minutes),,TODO! &Exit after (minutes),,,,,,,,,0,,
&Show confirmation (seconds),,TODO! &Show confirmation (seconds),,,,,,,,,0,,
&On/Off,,TODO! On/Off,,,,,,,,,0,,
Automatic disconnect of connections,,TODO! Automatic disconnect of connections,,,,,,,,,0,,
On/O&ff,,TODO! On/Off,,,,,,,,,0,,
&Disconnect after (minutes):,,TODO! &Disconnect after (minutes):,,,,,,,,,0,,
Show con&firmation (seconds),,TODO! Show con&firmation (seconds),,,,,,,,,0,,
List2,,List2,,,,,,,,,0,,
Properties:,,Proprietà:,,,,,,,,,0,,
Na&me:,,Nome:,,,,,,,,,0,,
&Size:,,TODO! Dimen&sione:,,,,,,,,,0,,
in MByte,,TODO! in MByte,,,,,,,,,0,,
For this archive maximally,,TODO! For this archive maximally,,,,,,,,,0,,
0000,,0000,,,,,,,,,0,,
MB are available,,TODO! MB are available,,,,,,,,,0,,
Totaling,,TODO! Totaling,,,,,,,,,0,,
000000000000,,000000000000,,,,,,,,,0,,
/,,/,,,,,,,,,0,,
000000000000,,000000000000,,,,,,,,,0,,
MB are used,,TODO! MB usato,,,,,,,,,0,,
List2,,List2,,,,,,,,,0,,
Usage,,TODO! Uso,,,,,,,,,0,,
&Operating system,,TODO! Sistema &operativo,,,,,,,,,0,,
&No usage,,&TODO! Nessuno uso,,,,,,,,,0,,
&Storage,,&TODO! Storage,,,,,,,,,0,,
&Backup read && write,,TODO! &Backup read && write,,,,,,,,,0,,
Backup &read,,TODO! Backup &read,,,,,,,,,0,,
Drive:,,Unità:,,,,,,,,,0,,
0:\\,,0:\\,,,,,,,,,0,,
Size &used:,,TODO! Size &used:,,,,,,,,,0,,
MByte,,TODO! MByte,,,,,,,,,0,,
Total size of storage drives:\n(without 20 MB reserved space / drive),,TODO! Total size of storage drives:\n(without 20 MB reserved space / drive),,,,,,,,,0,,
0000000000,,0000000000,,,,,,,,,0,,
MByte,,TODO! MByte,,,,,,,,,0,,
Drive,,Unità,,,,,,,,,0,,
Total sizes,,TODO! Total sizes,,,,,,,,,0,,
Total size of archives:,,TODO! Total size of archives:,,,,,,,,,0,,
MByte,,TODO! MByte,,,,,,,,,0,,
0000000000,,0000000000,,,,,,,,,0,,
&All,,TODO! &Tutto,,,,,,,,,0,,
System Management,,TODO! System Management,,,,,,,,,0,,
Hosts,,TODO! Hosts,,,,,,,,,0,,
Close print preview mode\nCancel preview,,TODO! Close print preview mode\nCancel preview,,,,,,,,,0,,
There are still archives for this host.\nShould all archives with images and data be deleted automatically?,,TODO! There are still archives for this host.\nShould all archives with images and data be deleted automatically?,,,,,,,,,0,,
There is still no archive for images from normal connections for host %s.\nShould such an archive be created automatically?,,TODO! There is still no archive for images from normal connections for host %s.\nShould such an archive be created automatically?,,,,,,,,,0,,
There is still no archive for images from queries for host %s.\nShould such an archive be created automatically?,,TODO! There is still no archive for images from queries for host %s.\nShould such an archive be created automatically?,,,,,,,,,0,,
Normal,,Normal,,,,,,,,,0,,
Query,,Cerca,,,,,,,,,0,,
