SocketUnit,,SocketUnit,,,,,,,,,0,,
E&xit,,&Beenden,,,,,,,,,0,,
DUN,,DFÜ-Verbindungen,,,,,,,,,0,,
Allow incoming calls,,Erlaube eingehende &Anrufe,,,,,,,,,0,,
Ring at incoming call,,Akustisches S&ignal bei eingehenden Anrufen,,,,,,,,,0,,
Allow outgoing calls,,Erlaube ausgehende &Rufe,,,,,,,,,0,,
Accept only calls in IP-list,,Nur Rufe aus der IP-&Liste annehmen,,,,,,,,,0,,
Expected bitrate:,,Erwartete Bitrate:,,,,,,,,,0,,
Sync repeat time:,,Sync-Wiederholzeit:,,,,,,,,,0,,
seconds,,Sekunden,,,,,,,,,0,,
Adopt host list,,Gegenstationsliste &übernehmen,,,,,,,,,0,,
,,,,,,,,,,,0,,
Username:,,Benutzername:,,,,,,,,,0,,
DUN-name:,,Verbindungsname:,,,,,,,,,0,,
Call number:,,Rufnummer:,,,,,,,,,0,,
Establish via:,,herstellen über:,,,,,,,,,0,,
Password:,,Passwort:,,,,,,,,,0,,
New,,&Neu,,,,,,,,,0,,
Delete,,L&öschen,,,,,,,,,0,,
Details,,&Details,,,,,,,,,0,,
available entries,,vorhandene Einträge,,,,,,,,,0,,
Reinitialize,,Reinitialisieren,,,,,,,,,0,,
Undo,,Rü&ckgängig,,,,,,,,,0,,
Store,,&Speichern,,,,,,,,,0,,
Networkdetails,,Netzwerkdetails,,,,,,,,,0,,
Networkdetails,,Netzwerkdetails,,,,,,,,,0,,
OK,,&OK,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
,,,,,,,,,,,0,,
Total bitrate:,,Gesamtbitrate:,,,,,,,,,0,,
Input:,,Input:,,,,,,,,,0,,
Output:,,Output:,,,,,,,,,0,,
Audio:,,Audio:,,,,,,,,,0,,
Database:,,Database:,,,,,,,,,0,,
Connection to:,,Verbindung zu:,,,,,,,,,0,,
0 kBit/s,,0 kBit/s,,,,,,,,,0,,
0 kBit/s,,0 kBit/s,,,,,,,,,0,,
0 kBit/s,,0 kBit/s,,,,,,,,,0,,
0 kBit/s,,0 kBit/s,,,,,,,,,0,,
0 kBit/s,,0 kBit/s,,,,,,,,,0,,
Close connection,,&Verbindung beenden,,,,,,,,,0,,
Properties,,Eigenschaften,,,,,,,,,0,,
Local IP address:,,lokale IP-Adresse:,,,,,,,,,0,,
Remote IP address:,,Remote-IP-Adresse:,,,,,,,,,0,,
0.0.0.0,,0.0.0.0,,,,,,,,,0,,
0.0.0.0,,0.0.0.0,,,,,,,,,0,,
Connection type:,,Verbindungstyp:,,,,,,,,,0,,
-,,-,,,,,,,,,0,,
maximum bitrate:,,maximale Bitrate:,,,,,,,,,0,,
0 kBit/s,,0 kBit/s,,,,,,,,,0,,
&About...,,Inf&o über...,,,,,,,,,0,,
&Close all connections,,Alle &Verbindungen abbauen,,,,,,,,,0,,
E&xit,,&Beenden,,,,,,,,,0,,
About NetUnit...,,Inf&o über NetUnit...,,,,,,,,,0,,
No synchronization in %d seconds. Connection to %s was closed.,,Keine Synchronisation innerhalb von %d Sekunden. Die Verbindung zu %s wird getrennt.,,,,,,,,,0,,
Outgoing call is not allowed.,,Ausgehender Ruf ist nicht erlaubt.,,,,,,,,,0,,
Routing connection failed. The called host is not configured as router.,,"Routing Verbindung fehlgeschlagen, das gerufene\nSystem ist  nicht als Router konfiguriert.",,,,,,,,,0,,
Incoming call from %s (%s).,,Eingehender Anruf von %s (%s).,,,,,,,,,0,,
Connection to %s (%s) established.,,Verbindung zu %s (%s) hergestellt.,,,,,,,,,0,,
Close outgoing call to %s (%s).,,Schließe ausgehenden Anruf zu %s (%s).,,,,,,,,,0,,
Close incoming call from %s (%s).,,Schließe eingehenden Anruf von %s (%s).,,,,,,,,,0,,
Reject incoming call from %s (%s).,,Verweigere eingehenden Anruf von %s (%s).,,,,,,,,,0,,
Reject outgoing call to %s.,,Verweigere ausgehenden Anruf zu %s.,,,,,,,,,0,,
Window empty.,,Fenster geleert,,,,,,,,,0,,
Internal error (code 114).,,Interner Fehler (code 114).,,,,,,,,,0,,
%s (%s) does not answer.,,%s (%s) antwortet nicht.,,,,,,,,,0,,
Unknown hostname,,Unbekannter Hostname,,,,,,,,,0,,
"Invalid permission, access denied",,"Keine Berechtigung, Zugriff verweigert",,,,,,,,,0,,
The DUN form has to be filled out completely.,,Es müssen alle DFÜ-Felder ausgefüllt werden.,,,,,,,,,0,,
DUN name already exists.,,Der Verbindungsname ist bereits vorhanden.,,,,,,,,,0,,
Invalid DUN name!,,Ungültiger Verbindungsname!,,,,,,,,,0,,
Discard DUN entry?,,Soll die neue DFÜ-Verbindung verworfen werden?,,,,,,,,,0,,
DUN entry cannot be created or changed.,,DFÜ-Verbindung konnte nicht erstellt bzw. geändert werden.,,,,,,,,,0,,
Discard changes?,,Sollen die Änderungen verworfen werden?,,,,,,,,,0,,
Adopt changes?,,Änderungen übernehmen?,,,,,,,,,0,,
New DUN entry,,Neue DFÜ-Verbindung,,,,,,,,,0,,
&File,,&Datei,,,,,,,,,0,,
&About...,,Inf&o über...,,,,,,,,,0,,
&Settings...,,Einstellungen...,,,,,,,,,0,,
&Close all connections,,Alle &Verbindungen abbauen,,,,,,,,,0,,
E&xit,,&Beenden,,,,,,,,,0,,
