IdleTimes
n, µs
1492
0, 1130511
1, 33580
2, 250790
3, 4732
4, 272222
5, 5031
6, 719204
7, 5009
8, 993503
9, 4909
10, 998134
11, 4965
12, 993102
13, 5039
14, 991200
15, 6469
16, 992563
17, 4967
18, 994431
19, 4889
20, 994492
21, 4928
22, 993060
23, 5011
24, 994874
25, 5991
26, 997978
27, 4926
28, 997403
29, 4966
30, 988671
31, 4954
32, 1000557
33, 7356
34, 984271
35, 4892
36, 997357
37, 5016
38, 997858
39, 5142
40, 987395
41, 4911
42, 1003168
43, 5623
44, 984207
45, 4972
46, 996211
47, 4797
48, 998975
49, 4906
50, 990793
51, 4815
52, 1000557
53, 5090
54, 988120
55, 4719
56, 999154
57, 4915
58, 989366
59, 4969
60, 1001505
61, 5807
62, 988218
63, 4910
64, 992251
65, 4712
66, 992906
67, 4700
68, 995758
69, 4892
70, 999565
71, 6952
72, 991717
73, 4761
74, 990268
75, 4850
76, 995636
77, 4790
78, 992334
79, 4670
80, 995057
81, 5598
82, 999582
83, 5023
84, 990581
85, 4658
86, 994607
87, 4990
88, 995520
89, 4922
90, 993864
91, 6238
92, 992525
93, 5237
94, 992660
95, 4795
96, 999857
97, 4677
98, 997364
99, 6956
100, 987876
101, 4984
102, 999323
103, 5232
104, 985001
105, 4838
106, 998743
107, 4939
108, 998774
109, 6224
110, 986027
111, 4971
112, 1001300
113, 5026
114, 986199
115, 4988
116, 996814
117, 4780
118, 1000145
119, 5318
120, 989122
121, 4923
122, 998635
123, 5325
124, 351455
125, 5045
126, 633101
127, 4849
128, 192111
129, 4988
130, 11828
131, 5000
132, 10735
133, 5249
134, 11465
135, 5312
136, 10894
137, 5118
138, 14240
139, 5327
140, 10146
141, 4907
142, 702630
143, 5712
144, 993661
145, 5529
146, 228067
147, 26944
148, 738698
149, 5170
150, 720981
151, 4870
152, 10422
153, 4877
154, 247524
155, 6656
156, 993002
157, 4929
158, 996497
159, 5297
160, 991133
161, 4930
162, 999499
163, 4998
164, 990883
165, 5966
166, 991819
167, 4685
168, 997454
169, 7415
170, 363551
171, 14684
